package	version	architecture	source_package	source_version
adduser	3.118ubuntu5	all	adduser	3.118ubuntu5
apt	2.4.13	arm64	apt	2.4.13
base-files	12ubuntu4.7	arm64	base-files	12ubuntu4.7
base-passwd	3.5.52build1	arm64	base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1	arm64	bash	5.1-6ubuntu1.1
bsdutils	1:2.37.2-4ubuntu3.4	arm64	util-linux	2.37.2-4ubuntu3.4
ca-certificates	20260601~22.04.1	all	ca-certificates	20260601~22.04.1
coreutils	8.32-4.1ubuntu1.2	arm64	coreutils	8.32-4.1ubuntu1.2
dash	0.5.11+git20210903+057cd650a4ed-3build1	arm64	dash	0.5.11+git20210903+057cd650a4ed-3build1
debconf	1.5.79ubuntu1	all	debconf	1.5.79ubuntu1
debianutils	5.5-1ubuntu2	arm64	debianutils	5.5-1ubuntu2
diffutils	1:3.8-0ubuntu2	arm64	diffutils	1:3.8-0ubuntu2
dpkg	1.21.1ubuntu2.3	arm64	dpkg	1.21.1ubuntu2.3
e2fsprogs	1.46.5-2ubuntu1.2	arm64	e2fsprogs	1.46.5-2ubuntu1.2
findutils	4.8.0-1ubuntu3	arm64	findutils	4.8.0-1ubuntu3
gcc-12-base	12.3.0-1ubuntu1~22.04	arm64	gcc-12	12.3.0-1ubuntu1~22.04
gpgv	2.2.27-3ubuntu2.1	arm64	gnupg2	2.2.27-3ubuntu2.1
grep	3.7-1build1	arm64	grep	3.7-1build1
gzip	1.10-4ubuntu4.1	arm64	gzip	1.10-4ubuntu4.1
hostname	3.23ubuntu2	arm64	hostname	3.23ubuntu2
init-system-helpers	1.62	all	init-system-helpers	1.62
libacl1	2.3.1-1	arm64	acl	2.3.1-1
libapt-pkg6.0	2.4.13	arm64	apt	2.4.13
libattr1	1:2.5.1-1build1	arm64	attr	1:2.5.1-1build1
libaudit-common	1:3.0.7-1build1	all	audit	1:3.0.7-1build1
libaudit1	1:3.0.7-1build1	arm64	audit	1:3.0.7-1build1
libblkid1	2.37.2-4ubuntu3.4	arm64	util-linux	2.37.2-4ubuntu3.4
libbsd0	0.11.5-1	arm64	libbsd	0.11.5-1
libbz2-1.0	1.0.8-5build1	arm64	bzip2	1.0.8-5build1
libc-bin	2.35-0ubuntu3.8	arm64	glibc	2.35-0ubuntu3.8
libc6	2.35-0ubuntu3.8	arm64	glibc	2.35-0ubuntu3.8
libcap-ng0	0.7.9-2.2build3	arm64	libcap-ng	0.7.9-2.2build3
libcap2	1:2.44-1ubuntu0.22.04.1	arm64	libcap2	1:2.44-1ubuntu0.22.04.1
libcbor0.8	0.8.0-2ubuntu1	arm64	libcbor	0.8.0-2ubuntu1
libcom-err2	1.46.5-2ubuntu1.2	arm64	e2fsprogs	1.46.5-2ubuntu1.2
libcrypt1	1:4.4.27-1	arm64	libxcrypt	1:4.4.27-1
libdb5.3	5.3.28+dfsg1-0.8ubuntu3	arm64	db5.3	5.3.28+dfsg1-0.8ubuntu3
libdebconfclient0	0.261ubuntu1	arm64	cdebconf	0.261ubuntu1
libedit2	3.1-20210910-1build1	arm64	libedit	3.1-20210910-1build1
libext2fs2	1.46.5-2ubuntu1.2	arm64	e2fsprogs	1.46.5-2ubuntu1.2
libffi8	3.4.2-4	arm64	libffi	3.4.2-4
libfido2-1	1.10.0-1	arm64	libfido2	1.10.0-1
libgcc-s1	12.3.0-1ubuntu1~22.04	arm64	gcc-12	12.3.0-1ubuntu1~22.04
libgcrypt20	1.9.4-3ubuntu3	arm64	libgcrypt20	1.9.4-3ubuntu3
libgmp10	2:6.2.1+dfsg-3ubuntu1	arm64	gmp	2:6.2.1+dfsg-3ubuntu1
libgnutls30	3.7.3-4ubuntu1.5	arm64	gnutls28	3.7.3-4ubuntu1.5
libgpg-error0	1.43-3	arm64	libgpg-error	1.43-3
libgssapi-krb5-2	1.19.2-2ubuntu0.4	arm64	krb5	1.19.2-2ubuntu0.4
libhogweed6	3.7.3-1build2	arm64	nettle	3.7.3-1build2
libidn2-0	2.3.2-2build1	arm64	libidn2	2.3.2-2build1
libk5crypto3	1.19.2-2ubuntu0.4	arm64	krb5	1.19.2-2ubuntu0.4
libkeyutils1	1.6.1-2ubuntu3	arm64	keyutils	1.6.1-2ubuntu3
libkrb5-3	1.19.2-2ubuntu0.4	arm64	krb5	1.19.2-2ubuntu0.4
libkrb5support0	1.19.2-2ubuntu0.4	arm64	krb5	1.19.2-2ubuntu0.4
liblz4-1	1.9.3-2build2	arm64	lz4	1.9.3-2build2
liblzma5	5.2.5-2ubuntu1	arm64	xz-utils	5.2.5-2ubuntu1
libmd0	1.0.4-1build1	arm64	libmd	1.0.4-1build1
libmount1	2.37.2-4ubuntu3.4	arm64	util-linux	2.37.2-4ubuntu3.4
libncurses6	6.3-2ubuntu0.1	arm64	ncurses	6.3-2ubuntu0.1
libncursesw6	6.3-2ubuntu0.1	arm64	ncurses	6.3-2ubuntu0.1
libnettle8	3.7.3-1build2	arm64	nettle	3.7.3-1build2
libnsl2	1.3.0-2build2	arm64	libnsl	1.3.0-2build2
